"location","source","target","id","developer_comments"
"01a_02601.bin.json:3","02601:003","二章","02601:003",""
"01a_02601.bin.json:4","02601:004","――何か思い違いをしている気がする。","02601:004",""
"01a_02601.bin.json:5","02601:005","何かを見落としているような……。","02601:005",""
"01a_02601.bin.json:7","02601:007","アリス","02601:007",""
"01a_02601.bin.json:8","02601:008","『……もう少し考えてみよう』","02601:008",""
"01a_02601.bin.json:10","02601:010","床に視線を落としつつ、熟考する。","02601:010",""
"01a_02601.bin.json:11","02601:011","佐和良義先輩が見抜き、わたしが見落としているもの……。","02601:011",""
"01a_02601.bin.json:13","02601:013","……[#]何？　何が……。","02601:013",""
"01a_02601.bin.json:16","02601:016","講堂の扉が開き、来訪者が訪れた。","02601:016",""
"01a_02601.bin.json:17","02601:017","答えに行き着かないまま思考を中断し、わたしは現れた彼女に気付かれぬよう身を潜めた……。","02601:017",""
"01a_02601.bin.json:21","02601:021","喧噪はわたしの耳には入っていなかった。","02601:021",""
"01a_02601.bin.json:22","02601:022","否、","02601:022",""
"01a_02601.bin.json:25","02601:025","それは目の前で話す穂高明の声もだ。","02601:025",""
"01a_02601.bin.json:27","02601:027","わたしの心はポークカツレツを前に少しの食欲も、悦びも湧いていなかった。","02601:027",""
"01a_02601.bin.json:28","02601:028","普段なら好物のひとつであるそれを、どれくらいの大きさにカットし、頬張るかを考え愉しむのに。","02601:028",""
"01a_02601.bin.json:30","02601:030","『……結局、』","02601:030",""
"01a_02601.bin.json:32","02601:032","考えがまとまっていないままで、見切り発車をしてはいけないという事だ。","02601:032",""
"01a_02601.bin.json:33","02601:033","朝の清廉な空気に包まれた講堂の中で――わたしは訪問者である彼女と対峙した。","02601:033",""
"01a_02601.bin.json:34","02601:034","佐和良義先輩の力を借り、彼女のわだかまりをもう少しで解けるところまでいったのに――……","02601:034",""
"01a_02601.bin.json:36","02601:036","メイ","02601:036",""
"01a_02601.bin.json:37","02601:037","どうした？　お腹いたいの？","02601:037",""
"01a_02601.bin.json:40","02601:040","ん……ぁ、大丈夫……。","02601:040",""
"01a_02601.bin.json:43","02601:043","……[#]ピアノの伴奏者に選ばれたのは不本意だろうけど、あの子のためと思ってしっかり勤め上げた方がいい。","02601:043",""
"01a_02601.bin.json:45","02601:045","そう、だね……。","02601:045",""
"01a_02601.bin.json:47","02601:047","本当なら彼女がやる筈だった伴奏者。","02601:047",""
"01a_02601.bin.json:48","02601:048","心配そうに見詰めるメイへ、淡く微笑むとポークカツレツをナイフでカットし頬張った。","02601:048",""
"01a_02601.bin.json:49","02601:049","『味なんてしない……』","02601:049",""
"01a_02601.bin.json:51","02601:051","料理と同じく、日常が無味なものに変わっていくのを感じていた…………。","02601:051",""
