"location","source","target","id","developer_comments"
"01a_02100.bin.json:2","02100:002","二章","02100:002",""
"01a_02100.bin.json:3","02100:003","講堂の大きな窓から差す陽射しはとても暖かだった。","02100:003",""
"01a_02100.bin.json:4","02100:004","次に来る季節を思わせるひやりとした冷たさはなく、祝福のように幾筋の光の束がわたしたちへと射し、暖かに包み込んだ。","02100:004",""
"01a_02100.bin.json:8","02100:008","講堂へと合唱の声は高く低く、伸びやかにリズムをとって響く。","02100:008",""
"01a_02100.bin.json:9","02100:009","皆での合唱は続き、そしてソプラノリーダーであるわたしのソロと為った。","02100:009",""
"01a_02100.bin.json:10","02100:010","“流浪の民”の歌詞を{光芒/こうぼう}に包まれながら一人歌い上げると、アルト・テノール・バスと続き歌唱する。","02100:010",""
"01a_02100.bin.json:11","02100:011","幾度かのソロを歌い、皆の合唱となりそして――……","02100:011",""
"01a_02100.bin.json:12","02100:012","じょじょに声量をあげ高々に曲名を歌い上げ、最後の鍵盤の一音が水面に落ちた波紋のように広がり消えると――初めて最後まで歌いきることができたのだ。","02100:012",""
"01a_02100.bin.json:13","02100:013","音楽教師が手を叩き、良く出来ましたと褒めたことで緊張は解け、わっとクラス皆の声が上がった。","02100:013",""
"01a_02100.bin.json:15","02100:015","クラスメイトＡ","02100:015",""
"01a_02100.bin.json:16","02100:016","驚いた、前よりずっと上手になってる！","02100:016",""
"01a_02100.bin.json:18","02100:018","クラスメイトＢ","02100:018",""
"01a_02100.bin.json:19","02100:019","神田さんすごいわ！","02100:019",""
"01a_02100.bin.json:21","02100:021","周りのソロパートの級友に褒められ赤面してしまう。昔取った杵柄がようやく思い出せてきたのか、合唱部にいたころと遜色なく歌い上げることができた。","02100:021",""
"01a_02100.bin.json:23","02100:023","アリス","02100:023",""
"01a_02100.bin.json:24","02100:024","『これならメイの期待に応えられるかも……』","02100:024",""
"01a_02100.bin.json:26","02100:026","褒める言葉が続くのを聞きながらも、幼馴染みへ良いところをみせられるようにと予習をしていた成果が出たことに心の中でガッツポーズをする。と、","02100:026",""
"01a_02100.bin.json:28","02100:028","予鈴が鳴り音楽の授業が終わったのを告げた。","02100:028",""
"01a_02100.bin.json:30","02100:030","音楽教師が手を叩き、授業の終了と初めて全部歌い切ったことを賞賛する。（歌唱が上手くいかない場合はその都度止め、直しながら指導していたのだ）","02100:030",""
"01a_02100.bin.json:31","02100:031","そして、出した設備の整頓をきちんとしておくことを告げると講堂から退出していった。","02100:031",""
"01a_02100.bin.json:32","02100:032","春日＠？？？","02100:032",""
"01a_02100.bin.json:33","02100:033","さすが元合唱部。","02100:033",""
"01a_02100.bin.json:37","02100:037","春日さん。","02100:037",""
"01a_02100.bin.json:41","02100:041","春日","02100:041",""
"01a_02100.bin.json:42","02100:042","ソプラノリーダーに選ばれただけあるね。","02100:042",""
"01a_02100.bin.json:44","02100:044","本当に上手だったわ。","02100:044",""
"01a_02100.bin.json:47","02100:047","そんな……。","02100:047",""
"01a_02100.bin.json:50","02100:050","小さくて可愛いのに歌まで上手とか羨ましいよね。","02100:050",""
"01a_02100.bin.json:53","02100:053","小さいは余計です！　って、わたしってそんなに小さくないでしょ。そうだよね？","02100:053",""
"01a_02100.bin.json:55","02100:055","いや……。","02100:055",""
"01a_02100.bin.json:57","02100:057","口ごもる級友に頭を殴られたように竦む。","02100:057",""
"01a_02100.bin.json:58","02100:058","可愛いらしいから、その、平気よ？","02100:058",""
"01a_02100.bin.json:60","02100:060","え？　小柄ではあるけれど、小学生に言うみたいなリアクションはなに？","02100:060",""
"01a_02100.bin.json:62","02100:062","そ、それよりうちのクラス合唱祭で優勝狙えるかも。神田さんだけじゃなく他のソロパートも上手だし、それに――。","02100:062",""
"01a_02100.bin.json:64","02100:064","木野さんのことだよね、と級友が続けた。そう、","02100:064",""
"01a_02100.bin.json:66","02100:066","『わたしの代わりに伴奏者になった木野ゆり香さん』","02100:066",""
"01a_02100.bin.json:69","02100:069","吹奏楽部に所属し、そこでもピアノを選択。尚且つピアノ教室まで通っている本格派だ。わたしの緩い音楽教室ではなく、間違ったら指導鞭が飛ぶプロを目指す教室。","02100:069",""
"01a_02100.bin.json:70","02100:070","だから彼女の名前と一緒に、黒板へピアノの伴奏をどちらに選ぶかとなった時には随分と気を揉んだものだ。","02100:070",""
"01a_02100.bin.json:72","02100:072","『やっぱり彼女が選ばれて良かった』","02100:072",""
