"location","source","target","id","developer_comments"
"01a_01300.bin.json:2","01300:002","一章","01300:002",""
"01a_01300.bin.json:3","01300:003","春日＠？？？","01300:003",""
"01a_01300.bin.json:4","01300:004","噂の占い師には会えた？","01300:004",""
"01a_01300.bin.json:9","01300:009","鞄を机に置き座ると、いの一番に前の席の春日さんからそう訊ねられ、バッチリだったよと答えた。","01300:009",""
"01a_01300.bin.json:12","01300:012","春日","01300:012",""
"01a_01300.bin.json:13","01300:013","へぇ！　茶道部の魔女の噂は本当だったんだ。","01300:013",""
"01a_01300.bin.json:15","01300:015","……ん？　その言い方って……。","01300:015",""
"01a_01300.bin.json:18","01300:018","アリス","01300:018",""
"01a_01300.bin.json:19","01300:019","もしかして適当なことを言ったんじゃ――。","01300:019",""
"01a_01300.bin.json:22","01300:022","違う違う！　噂になってたのは本当だよ。茶道部に何でも解決してくれる魔女がいるって。","01300:022",""
"01a_01300.bin.json:25","01300:025","魔女って……。占い師だって言ってなかった？","01300:025",""
"01a_01300.bin.json:27","01300:027","わたしに話してくれた子が百発百中で当てるって言ってたから、占い師って……。魔女なんて言ったら神田さん行かなかったでしょう？","01300:027",""
"01a_01300.bin.json:30","01300:030","しばし悩んだ末にそれでも行ったかな、の方が勝った。あのときはメイの疑いを晴らすためには、どうしたらいいのかとしか頭になかったから。","01300:030",""
"01a_01300.bin.json:31","01300:031","小首を傾げ腕を組むわたしを見詰め、春日さんは破顔した。","01300:031",""
"01a_01300.bin.json:32","01300:032","それでどうだった？　悩みは解決したの？","01300:032",""
"01a_01300.bin.json:35","01300:035","それが――。","01300:035",""
"01a_01300.bin.json:38","01300:038","昨日の放課後、茶室の中でメイに掛けられた疑いを晴らすための占いをして貰おうとした。しかし、","01300:038",""
"01a_01300.bin.json:39","01300:039","『現時点の情報だけでは解決はできない』","01300:039",""
"01a_01300.bin.json:41","01300:041","佐和良義先輩はそう告げたのだ。","01300:041",""
"01a_01300.bin.json:42","01300:042","そして、彼女はわたしへひとつ頼み事をして――……","01300:042",""
"01a_01300.bin.json:43","01300:043","……[#]緊張するなぁ。","01300:043",""
"01a_01300.bin.json:46","01300:046","え？","01300:046",""
"01a_01300.bin.json:49","01300:049","ううん。解決するにはもう少し掛かるって言ったの。","01300:049",""
"01a_01300.bin.json:52","01300:052","そうなんだとどこか釈然としない顔をする春日さん。きっと彼女の中では、魔女が大きな水晶に手をかざし悩みの元を当て、既に解決したのだと連想していたのだろう。","01300:052",""
"01a_01300.bin.json:54","01300:054","……[#]メイのためだもん。頑張らなくちゃ！","01300:054",""
"01a_01300.bin.json:56","01300:056","昨日の約束事を思い返し、わたしは胸の前でぎゅっと拳を握った。","01300:056",""
"01a_01300.bin.json:61","01300:061","校庭の芝生を踏みながら目を細め秋空を望む。","01300:061",""
"01a_01300.bin.json:62","01300:062","空は目に見えて高くなり、空気は昨日よりも冷え、雲は筆で引いたかのような美しい白い筋を描いていた。","01300:062",""
"01a_01300.bin.json:63","01300:063","目的の場所である弓道場が見え、わたしはやにわに緊張してきた。","01300:063",""
"01a_01300.bin.json:64","01300:064","通い慣れた場所だけれど、どう思われるか……。","01300:064",""
"01a_01300.bin.json:65","01300:065","どうしましたか、と涼やかな声に押され――わたしは、覚悟を決め、待つように言い弓道場へと走ったのだ。","01300:065",""
"01a_01300.bin.json:67","01300:067","――結局のところ、","01300:067",""
"01a_01300.bin.json:68","01300:068","わたしの心配は杞憂に終わった。","01300:068",""
"01a_01300.bin.json:71","01300:071","宝珠","01300:071",""
"01a_01300.bin.json:72","01300:072","不躾なお願いを聞いていただき、有り難う御座います。","01300:072",""
"01a_01300.bin.json:75","01300:075","宮原","01300:075",""
"01a_01300.bin.json:76","01300:076","い、いえ。見学をするのは誰にでも門戸を開いていますから。","01300:076",""
"01a_01300.bin.json:78","01300:078","頬を染めた宮原部長に言われ、茶道部の魔女こと――佐和良義宝珠先輩は淡く微笑んだ。","01300:078",""
"01a_01300.bin.json:79","01300:079","微かな笑みは目の前の部長だけでなく、周りの部員たちも一様に魅了した。心を不動のものにしなければいけない弓道部員の視線を皆釘付けていたのだ。","01300:079",""
"01a_01300.bin.json:80","01300:080","――初めて会ったときの着物姿も嵌まりすぎていたけれど、制服姿は少しアンバランスな気がしてそこがまた目を惹いてしまう。","01300:080",""
"01a_01300.bin.json:82","01300:082","『謎を解くために部内を見学させてほしいって言われた時はどうなるかって思ったけど……』","01300:082",""
"01a_01300.bin.json:85","01300:085","問題はないようである。","01300:085",""
"01a_01300.bin.json:86","01300:086","射るところを見せて頂けますか？","01300:086",""
"01a_01300.bin.json:88","01300:088","微かな笑みが明け方の白い月のように、口元に控えめに浮かび告げる。宮原部長は熱に浮かされたように、わたしの名を呼んだ。","01300:088",""
"01a_01300.bin.json:90","01300:090","佐和良義先輩へ“射法八節”のやり方を教えていく。","01300:090",""
"01a_01300.bin.json:91","01300:091","射法には八節の構えがあり、一節は足踏み、二節は胴造り、三節は弓構えと実践でやってみせた。","01300:091",""
"01a_01300.bin.json:92","01300:092","話を聞きながらも――佐和良義先輩は昨日話した要所へとそれとなく視線を運んでいた。優勝カップが飾られている棚。奥の着替え室。神棚。","01300:092",""
"01a_01300.bin.json:94","01300:094","視線を意識しながら続く四節、打起こし。五節、引分け。六節、会と解説を続ける。","01300:094",""
"01a_01300.bin.json:95","01300:095","そして、","01300:095",""
"01a_01300.bin.json:98","01300:098","七節、離れで矢を射た。","01300:098",""
"01a_01300.bin.json:99","01300:099","話しつつという事もあるけれど、佐和良義先輩の視線が気になり的には入ったが大分外れてしまった。","01300:099",""
"01a_01300.bin.json:101","01300:101","流れとしてはこんな感じです。最後に八節、残心がありますがこれは矢が離れた後も体を動かさず、矢の当たった場所を見据える動きです。それと――。","01300:101",""
"01a_01300.bin.json:104","01300:104","――矢が離れた後も気を弛めず、腕は離れの姿勢から平行に左右に開くイメージをして残心を行います。","01300:104",""
"01a_01300.bin.json:107","01300:107","その後、ゆっくりと弓を倒します。そして呼吸を整えながら両手を腰に戻し頭を正面に戻す。ここまでが射法八節です。","01300:107",""
"01a_01300.bin.json:110","01300:110","言葉尻を取り部長が続けた。佐和良義先輩は感心したように目を細め、何度か頷いてみせる。そして、思っていたよりも大変なのですねと言い部活としての活動に対して訊ねた。","01300:110",""
"01a_01300.bin.json:112","01300:112","『……占いって聞いていたけれど、探偵みたい』","01300:112",""
"01a_01300.bin.json:114","01300:114","と、２人のやり取りを横目にしながら思う。いや、占いは悩みを百発百中で当てるって話からの連想だったっけ。","01300:114",""
"01a_01300.bin.json:115","01300:115","だったら魔女っていうのは？","01300:115",""
"01a_01300.bin.json:116","01300:116","わたしは何故だか赤い目をした佐和良義先輩を思い浮かべていた。あの時だけの赤い瞳。","01300:116",""
"01a_01300.bin.json:117","01300:117","でも、今は黒い瞳だし……。","01300:117",""
"01a_01300.bin.json:119","01300:119","――朝練ですか。一番に部長と副部長が来て用意をするなんて、部員たちに対しての模範を見せているのですね。","01300:119",""
"01a_01300.bin.json:121","01300:121","い、いえ、朝練は顧問の先生が一番に来て鍵を開けてくれているので私たちが最初ではないです。休みの時は私たちが一番ですが……。","01300:121",""
"01a_01300.bin.json:124","01300:124","休日練習の時は違うのですか？","01300:124",""
"01a_01300.bin.json:126","01300:126","はい。休日練習の際は鍵を私たちが……副部長の鶴見が預かっています。","01300:126",""
"01a_01300.bin.json:128","01300:128","言い、副部長の“鶴見かなん”先輩を見やった。","01300:128",""
"01a_01300.bin.json:130","01300:130","鶴見","01300:130",""
"01a_01300.bin.json:131","01300:131","…………。","01300:131",""
"01a_01300.bin.json:133","01300:133","鶴見副部長は気付いていない風にしていたけれど、時折話が弾んでいる二人へ強い視線を送っていた。","01300:133",""
"01a_01300.bin.json:134","01300:134","それは何故だか昨日目にしたメイを見ているようだった。一目惚れをした幼馴染み……。","01300:134",""
"01a_01300.bin.json:135","01300:135","神田さん。","01300:135",""
"01a_01300.bin.json:138","01300:138","あ、は、はい！","01300:138",""
"01a_01300.bin.json:141","01300:141","あの佐和良義さんというのは神田さんとどういったお知り合いなの？　学年が違うわよね？","01300:141",""
"01a_01300.bin.json:144","01300:144","問われ咄嗟に言葉が見付からない。思わず口ごもるわたしへ、長いと息を吐くと額を撫で、","01300:144",""
"01a_01300.bin.json:146","01300:146","……[#]詰問するような口調になってごめんなさい。でも、とても目を引く人だから。","01300:146",""
"01a_01300.bin.json:148","01300:148","と言った。","01300:148",""
"01a_01300.bin.json:150","01300:150","確かに衆目を惹く人だと佐和良義先輩へと目を向けた。彼女は会話を続けつつ要所をさり気なく見て取っている。と、","01300:150",""
"01a_01300.bin.json:152","01300:152","…………[#]ッ。","01300:152",""
"01a_01300.bin.json:154","01300:154","視線を送っていたことに気付き、佐和良義先輩と鶴見副部長の視線が交わる。","01300:154",""
"01a_01300.bin.json:155","01300:155","途端に顔を赤らめ鶴見副部長は硬直してしまった。ライトに照らされた猫が路上で硬直状態に陥ってしまうみたいに。","01300:155",""
"01a_01300.bin.json:156","01300:156","わたしは何故だか交わる視線に胸がざわつき、佐和良義先輩へと軽口を叩いてしまった。","01300:156",""
"01a_01300.bin.json:157","01300:157","鶴見先輩が気になるんですか","01300:157",""
"01a_01300.bin.json:159","01300:159","随分もてますね","01300:159",""
"01a_01300.bin.json:162","01300:162","……[#]鶴見先輩が気になるんですか。","01300:162",""
"01a_01300.bin.json:166","01300:166","視線が物語っていると目で訴える。と、佐和良義先輩は軽く微笑み、皆目の保養になると言った。","01300:166",""
"01a_01300.bin.json:167","01300:167","袴姿で凛々しい。同じ和を尊ぶ者として嬉しい。","01300:167",""
"01a_01300.bin.json:170","01300:170","そういう意味……だったんですか。","01300:170",""
"01a_01300.bin.json:173","01300:173","特に宮原さんが一番凛々しい。彼女が射る姿も見てみたい。","01300:173",""
"01a_01300.bin.json:175","01300:175","そ、そうですか……。","01300:175",""
"01a_01300.bin.json:177","01300:177","珍しく頬を赤らめる宮原部長に、やはり面白くない顔を見せる鶴見副部長。どちらも珍しい表情に小首を傾げる。すると、","01300:177",""
"01a_01300.bin.json:180","01300:180","佐和良義先輩は随分ともてますね。","01300:180",""
"01a_01300.bin.json:183","01300:183","え、と予想外のところから殴られたように視線を外すとわたしを見遣る。黒曜石のような目がひたりとわたしを映し――顔がじょじょに赤く染まっていくのを感じた。","01300:183",""
"01a_01300.bin.json:186","01300:186","『ぅぅ……すごい美人……！』","01300:186",""
"01a_01300.bin.json:188","01300:188","正面から見詰められると部長や副部長が――……","01300:188",""
"01a_01300.bin.json:189","01300:189","否、部員皆目を奪われた理由がわかる。","01300:189",""
"01a_01300.bin.json:190","01300:190","以前映画で、同じようなシチュエーションで俳優がポケットをさぐり“目を奪われた返してくれないか”と言うシーンが頭を{過/よぎ}り、思わず緊張から口角が上がってしまった。","01300:190",""
"01a_01300.bin.json:192","01300:192","ああ……！　なるほど、冗談。","01300:192",""
"01a_01300.bin.json:196","01300:196","ふふ、もてるなんていうから。","01300:196",""
"01a_01300.bin.json:198","01300:198","上品に口元に手をやり告げる彼女へ、内心小首を傾げてしまう。もしかして図抜けた美人だって自覚がないのだろうか？","01300:198",""
"01a_01300.bin.json:200","01300:200","それに宮原さんを前にそういう冗談を言うだなんて。彼女の方が同性にもてそうでしょう。","01300:200",""
"01a_01300.bin.json:202","01300:202","え？　い、いや……。","01300:202",""
