"location","source","target","id","developer_comments"
"01a_01200.bin.json:2","01200:002","一章","01200:002",""
"01a_01200.bin.json:3","01200:003","――昨日の夜から、登校中も頭の中の{靄/もや}は晴れることがなかった。","01200:003",""
"01a_01200.bin.json:8","01200:008","アリス","01200:008",""
"01a_01200.bin.json:9","01200:009","『……退部届の件』","01200:009",""
"01a_01200.bin.json:12","01200:012","昨日、部活を切り上げ、急ぎメイの自宅へと向かい押し掛けた。","01200:012",""
"01a_01200.bin.json:13","01200:013","初めはわたしを見ても軽口しか言わなかった親友だけど、硬い表情をしていたのを見て取ったのだろう自分から退部届のことを切り出した。","01200:013",""
"01a_01200.bin.json:14","01200:014","メイは自分がやったことでないのに既に部ではそう決まっており、そしていつの間にかなあなあになって許してやろうとなっている空気が堪えられないのだと言った。","01200:014",""
"01a_01200.bin.json:15","01200:015","だったら、誤解を解こう！　と宣言するわたしへ、そんな魔法のような言葉は持っていないと答えたのだ。オズの魔法使いみたいに何でも叶うなんて事はないんだよ、と。","01200:015",""
"01a_01200.bin.json:16","01200:016","諦めきった表情が嫌だった。利口そうに納得している顔なんて見たくなかった……。","01200:016",""
"01a_01200.bin.json:18","01200:018","魔法なんて使えないけど、そこは頭を捻ってなんとかすれば……。","01200:018",""
"01a_01200.bin.json:21","01200:021","春日＠？？？","01200:021",""
"01a_01200.bin.json:22","01200:022","何とかって？","01200:022",""
"01a_01200.bin.json:24","01200:024","不意に頭の上から声を投げかけられ、目を瞬かせ見上げる。","01200:024",""
"01a_01200.bin.json:27","01200:027","いつの間にか前の席のクラスメイト、春日さんが机の傍らに立ち心配そうに眉根を寄せ、わたしを見詰めていた。","01200:027",""
"01a_01200.bin.json:28","01200:028","春日","01200:028",""
"01a_01200.bin.json:29","01200:029","何か困っていることがあるの？","01200:029",""
"01a_01200.bin.json:32","01200:032","え？","01200:032",""
"01a_01200.bin.json:35","01200:035","なんでって顔しているけど、自分の席に座ったと思ったらすごく悩んでいる顔をしているんだもん。気付くよ。","01200:035",""
"01a_01200.bin.json:39","01200:039","そんなに悩んでいた表情をしていたのかとペタペタと顔に触れる。破顔した春日さんは優しく肩に手を掛けてくれた。","01200:039",""
"01a_01200.bin.json:42","01200:042","何を悩んでいるのか知らないけど、何か困ってるなら――そうだ！","01200:042",""
"01a_01200.bin.json:44","01200:044","とっておきを思いついたようにぱっと表情を明るくさせた。","01200:044",""
"01a_01200.bin.json:45","01200:045","実は最近噂になっていることがあってね。それなら悩みを解決してくれるかも！","01200:045",""
"01a_01200.bin.json:47","01200:047","降って湧いた幸運に、春日さんへそれは何かと問う。彼女は――……","01200:047",""
"01a_01200.bin.json:49","01200:049","――{一日千秋/いちじつせんしゅう}の思いで機会を窺っていたわたしは、","01200:049",""
"01a_01200.bin.json:50","01200:050","ホームルームを終える担任の声が聞こえた瞬間、バッグを片手に教室を飛び出していた。","01200:050",""
"01a_01200.bin.json:54","01200:054","話が長い先生の{所為/せい}で廊下には別のクラスの生徒たちの姿があり、その中に――……","01200:054",""
"01a_01200.bin.json:56","01200:056","メイ！","01200:056",""
"01a_01200.bin.json:59","01200:059","気まずい気持ちを抱えている幼馴染みは、いの一番で帰ろうとするだろうという予想は当たり、既に昇降口で自分の靴を手に取っていた。","01200:059",""
"01a_01200.bin.json:60","01200:060","もう一度名前を呼び、幼馴染みの元へ。","01200:060",""
"01a_01200.bin.json:62","01200:062","メイ","01200:062",""
"01a_01200.bin.json:63","01200:063","え、どうし――わわっ！？","01200:063",""
"01a_01200.bin.json:65","01200:065","――付き合って！","01200:065",""
"01a_01200.bin.json:66","01200:066","そう宣言し、自分の靴を手に取り、素早く履き終えるとメイの手を取り足早に歩を進めたのだ。","01200:066",""
"01a_01200.bin.json:71","01200:071","{意気軒昂/いきけんこう}に大股で目的地へ向かっていたわたしには耳に入らなかった。","01200:071",""
"01a_01200.bin.json:72","01200:072","向かうべきエネルギーの先が見付かったことに興奮していたからだ。だから、","01200:072",""
"01a_01200.bin.json:74","01200:074","アリス！","01200:074",""
"01a_01200.bin.json:78","01200:078","されるがままだったメイが立ち止まり、逆に手を引き返したことで彼女が何度もわたしを呼んでいたことに気がついたのだ。","01200:078",""
"01a_01200.bin.json:80","01200:080","ようやく立ち止まってくれた……！　どうしたんだよアリス、血相変えちゃってさ。","01200:080",""
"01a_01200.bin.json:83","01200:083","え、あれ？　説明してなかったっけ？","01200:083",""
"01a_01200.bin.json:86","01200:086","首をやれやれといった風に振る。繋いでいた手が揺れ、そこでしっかり握っていた事実に今更気付き、かっと頬が熱くなるのを感じた。久しぶりに繋いだ親友の手。","01200:086",""
