"location","source","target","id","developer_comments"
"01a_02600.bin.json:2","02600:002","二章","02600:002",""
"01a_02600.bin.json:3","02600:003","夢の中の続きのようだなと思った。","02600:003",""
"01a_02600.bin.json:5","02600:005","早朝の清廉な空気に包まれていると夢の延長のような気がした。","02600:005",""
"01a_02600.bin.json:6","02600:006","いつか見た夢の中でも同じ事をしていたような――そう考えていると、穂高明の顔が浮かび、ああ、そうだと気がつく。","02600:006",""
"01a_02600.bin.json:7","02600:007","あの時と同じだ。弓道場に潜んでいたあの時と。","02600:007",""
"01a_02600.bin.json:8","02600:008","昨日、","02600:008",""
"01a_02600.bin.json:10","02600:010","佐和良義先輩から木野さんの電話番号を聞かれた後、","02600:010",""
"01a_02600.bin.json:12","02600:012","“この件は思い込みと思い違いの二つが引き起こした”","02600:012",""
"01a_02600.bin.json:13","02600:013","と言った。","02600:013",""
"01a_02600.bin.json:14","02600:014","佐和良義先輩は、木野ゆり香が休む理由と怒りを向けた理由はその二つからだと言ったのだ。","02600:014",""
"01a_02600.bin.json:15","02600:015","そして、明日休みの日に此処、講堂で待っていてくれとも――……","02600:015",""
"01a_02600.bin.json:17","02600:017","講堂の中に身を潜ませながらわたしは、自分なりに佐和良義先輩が言ったその二点を考えてみた。","02600:017",""
"01a_02600.bin.json:19","02600:019","木野ゆり香さんがわたしへ怒りをむけた理由。","02600:019",""
"01a_02600.bin.json:20","02600:020","佐和良義先輩はわたしやメイ、恵理ちゃんが提供した話だけで理解していた。","02600:020",""
"01a_02600.bin.json:21","02600:021","なら情報を持っているわたしも解ける筈だ。","02600:021",""
"01a_02600.bin.json:22","02600:022","推理１《木野ゆり香がわたしへ怒った理由は？》","02600:022",""
"01a_02600.bin.json:23","02600:023","伴奏者として競った所為","02600:023",""
"01a_02600.bin.json:25","02600:025","佐和良義先輩が来たことで話題をさらった為","02600:025",""
"01a_02600.bin.json:26","02600:026","家族写真を見て批評した所為","02600:026",""
"01a_02600.bin.json:28","02600:028","おそらくはこれが理由なのだと思う。","02600:028",""
"01a_02600.bin.json:29","02600:029","でも何故？","02600:029",""
"01a_02600.bin.json:30","02600:030","軸となるものは解っているのにそこへ繋ぐ線は――……","02600:030",""
"01a_02600.bin.json:31","02600:031","ひとまず線ではなく、休んだ理由を考えてみよう。","02600:031",""
"01a_02600.bin.json:32","02600:032","なぜ木野ゆり香は講堂でわたしを罵った後、学校へ来なくなってしまったのか？","02600:032",""
"01a_02600.bin.json:33","02600:033","その理由は――","02600:033",""
"01a_02600.bin.json:34","02600:034","推理２《木野ゆり香が学校を休み続ける理由は？》","02600:034",""
"01a_02600.bin.json:35","02600:035","神田アリスに会いたくない","02600:035",""
"01a_02600.bin.json:37","02600:037","第三者から脅されている","02600:037",""
"01a_02600.bin.json:38","02600:038","講堂のピアノを弾きたくない","02600:038",""
"01a_02600.bin.json:44","02600:044","頭の中で整理し終えると、いつの間にか夢の延長線上だった気分は消え失せていた。","02600:044",""
"01a_02600.bin.json:45","02600:045","わたしは深く静かに息を吸うと、彼女が来るのをひっそりと待ち構えた……。","02600:045",""
"01a_02600.bin.json:48","02600:048","奇妙に甲高い鳥のような声をあげ扉が開き、来訪者が訪れた。","02600:048",""
"01a_02600.bin.json:49","02600:049","逆光でしっかりと姿を目にする事はできないけれど、来訪者の緊張が伝わる。","02600:049",""
"01a_02600.bin.json:50","02600:050","開けたときよりも慎重にドアを閉めると――おずおずと歩き出した。","02600:050",""
"01a_02600.bin.json:51","02600:051","小さな影はおっかなびっくりと歩を運び、わたしが潜んでいるところを過ぎ、ピアノが置いてある壇上近くまでいく。","02600:051",""
"01a_02600.bin.json:52","02600:052","しかし、これ以上は近寄れないと足を竦ませ立ち止まった。","02600:052",""
"01a_02600.bin.json:53","02600:053","と、","02600:053",""
"01a_02600.bin.json:54","02600:054","宝珠＠？？？","02600:054",""
"01a_02600.bin.json:55","02600:055","よく来てくれました。木野さん。","02600:055",""
"01a_02600.bin.json:57","02600:057","小さな影、","02600:057",""
"01a_02600.bin.json:60","02600:060","木野ゆり香は突然聞こえた涼やかな声音に見てとれるほど体を竦ませた。","02600:060",""
"01a_02600.bin.json:62","02600:062","そして、声のした方、壇上へと目を向ける。","02600:062",""
"01a_02600.bin.json:64","02600:064","此処に訪れることを知っていたわたしですら、突然現れたように見えた彼女に、ぎょっと隠れていた身を浮かせてしまった。","02600:064",""
"01a_02600.bin.json:65","02600:065","木野さんは分かり易く狼狽し、いつの間にか幽鬼のように佇む佐和良義宝珠をまぶしいものを目にするかのように目を細め見詰めた。","02600:065",""
