"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_04000.bin.json:3","四章","第四章","04000:003","False","","","

第四章

第四章"
"01a_04000.bin.json:5","[b]アリス","[b]爱丽丝","04000:005","False","","","

[b]爱丽丝

[b]爱丽丝"
"01a_04000.bin.json:6","[b]不吉の象徴とされる朱い目[k]","[b]被认为是不吉象征的朱眼[k]","04000:006","False","","","爱丽丝

[b]被认为是不吉象征的朱眼[k]

[b]被认为是不吉利的象征的红眼睛[k]"
"01a_04000.bin.json:9","[b]瞳の虹彩から連想するは沈みゆく太陽[k]","[b]从瞳孔的虹膜联想到的是渐渐下沉的太阳[k]","04000:009","False","","","爱丽丝

[b]从瞳孔的虹膜联想到的是渐渐下沉的太阳[k]

[b]从眼睛的虹彩联想到下沉的太阳[k]"
"01a_04000.bin.json:12","[b]しかしそれは、[k]","[b]但是那是，[k]","04000:012","False","","","爱丽丝

[b]但是那是，[k]

[b]但是那是因为[k]"
"01a_04000.bin.json:15","[b]物悲しい比喩ではなく明日の輝きを思い描く虹彩[k]","[b]不是悲伤的比喻，而是描绘明天光辉的虹膜[k]","04000:015","False","","","爱丽丝

[b]不是悲伤的比喻，而是描绘明天光辉的虹膜[k]

[b]不是悲伤的比喻，而是描绘明天光辉的虹彩[k]"
"01a_04000.bin.json:18","[b]これから紡がれるは――[k]","[b]接下来将要叙说的是——[k]","04000:018","False","","","爱丽丝

[b]接下来将要叙说的是——[k]

[b]接下来要纺的是——[k]"
"01a_04000.bin.json:21","[b]救済と再生を望む少女たちのお話[k]","[b]希望救济和再生的少女们的故事[k]","04000:021","False","","","爱丽丝

[b]希望救济和再生的少女们的故事[k]

[b]希望救赎和再生的少女们的故事[k]"
"01a_04000.bin.json:24","ひょっとしたら神田アリスは、あの言葉を伝えるのと引き替えに、私の魂の一部を持ち去ったのかもしれない。","也许神田爱丽丝把我的灵魂的一部分带走了，而不是传达那句话。","04000:024","False","","","

也许神田爱丽丝把我的灵魂的一部分带走了，而不是传达那句话。

或许神田爱丽丝为了传达那句话，拿走了我灵魂的一部分。"
"01a_04000.bin.json:29","独りきりの茶室の中で、私は三日前の出来事を思った。","在独自一人的茶室里，我想起三天前发生的事。","04000:029","False","","","

在独自一人的茶室里，我想起三天前发生的事。

在独自一人的茶室里，我想了三天前发生的事。"
"01a_04000.bin.json:30","今と同じ夕映えの射す中で、あの素敵な出来事が起こった。","在和现在一样的夕阳下，发生了那件很棒的事情。","04000:030","False","","","

在和现在一样的夕阳下，发生了那件很棒的事情。

在和刚才一样的夕阳余晖中，发生了那件美好的事情。"
"01a_04000.bin.json:31","考えることが多かった私は屋敷には戻らず、教室の自分の机に座り、小説を開いた振りをして思いを巡らしていた。","思绪万千的我没有回到宅邸，而是坐在教室里自己的桌子上，假装翻开小说，开始思考。","04000:031","False","","","

思绪万千的我没有回到宅邸，而是坐在教室里自己的桌子上，假装翻开小说，开始思考。

我经常思考，没有回到屋子，坐在教室的自己的桌子上，假装打开小说，心想起来。"
"01a_04000.bin.json:32","そして――いつの間にか眠ってしまったのだろう。","然后——不知不觉就睡着了吧。","04000:032","False","","","

然后——不知不觉就睡着了吧。

然后——不知什么时候睡着了吧。"
"01a_04000.bin.json:33","いつものようにぱっと目が冴えるでなく、頭の芯がぼうっとしてどこか夢の続きのような感覚を抱いていた。","不像往常那样一下子清醒过来，头脑里一片茫然，感觉像是在做梦。","04000:033","False","","","

不像往常那样一下子清醒过来，头脑里一片茫然，感觉像是在做梦。

眼睛不像往常一样清醒，头脑模糊，总觉得好像梦一样。"
"01a_04000.bin.json:34","そして、","然后，","04000:034","False","","","

然后

然后，"
"01a_04000.bin.json:36","――綺麗","——漂亮","04000:036","False","","","

——漂亮

——漂亮"
"01a_04000.bin.json:37","と、囁く言葉が私の上に振ってきた。","低声细语的话语在我上面挥动。","04000:037","False","","","

低声细语的话语在我上面挥动。

我耳边传来低语。"
"01a_04000.bin.json:38","誰が口にしたのかは直ぐに分かった。私が思い悩んでいたその人物の声だったから。","我马上就知道是谁说的。因为是我烦恼的那个人的声音。","04000:038","False","","","

我马上就知道是谁说的。因为是我烦恼的那个人的声音。

我马上就知道是谁说的。因为是我烦恼的那个人的声音。"
"01a_04000.bin.json:39","薄目を開けるでもなく、囁く言葉で彼女――神田アリスが私の前の席に座り、凝っと見詰めているのが手に取るように分かった。","她并不是睁着眼睛，而是用喃喃细语的语言——神田爱丽丝坐在我前面的座位上，凝视着我。","04000:039","False","","","

她并不是睁着眼睛，而是用喃喃细语的语言——神田爱丽丝坐在我前面的座位上，凝视着我。

她——神田爱丽丝坐在我前面的座位上，目不转睛地盯着我，眼睛也没有微微睁开。"
"01a_04000.bin.json:40","それは彼女の息づかいであり、投げかける視線であり、彼女にしかない柔らかで優しげな雰囲気によるものからそうだと察せられた。","那是从她的呼吸、投来的视线，以及只有她才有的柔和的气氛中推测出来的。","04000:040","False","","","

那是从她的呼吸、投来的视线，以及只有她才有的柔和的气氛中推测出来的。

这是她的呼吸，是一种投来的视线，是因为只有她才有的温柔的气氛所引起的。"
"01a_04000.bin.json:41","彼女は私を、子供を見守る母のようなまなざしで見詰め、何かを唇に乗せた。","她用母亲守护孩子的眼神看着我，把什么东西放在嘴唇上。","04000:041","False","","","

她用母亲守护孩子的眼神看着我，把什么东西放在嘴唇上。

她用母亲般的目光注视着我，把什么东西放在了嘴唇上。"
"01a_04000.bin.json:42","それは“愛”と聞こえ、私の心臓を大きくはずませたのだ。","那是听到“爱”，大大地让我的心脏错乱了。","04000:042","False","","","

那是听到“爱”，大大地让我的心脏错乱了。

那听起来是“爱”，我的心脏不会变大。"
"01a_04000.bin.json:44","宝珠","宝珠","04000:044","False","","","

宝珠

宝珠"
"01a_04000.bin.json:45","私への……。","给我的……","04000:045","False","","","宝珠

给我的……

给我的……"
"01a_04000.bin.json:47","嬉しさよりも困惑があった。母にすら見捨てられた私が望めるべくはないと。","比起高兴，更多的是困惑。连母亲都抛弃了的我，怎么可能奢望呢。","04000:047","False","","","

比起高兴，更多的是困惑。连母亲都抛弃了的我，怎么可能奢望呢。

比起高兴更困惑。连母亲都抛弃了的我是不可能期望的。"
"01a_04000.bin.json:48","しかし、","但是，","04000:048","False","","","

但是

但是，"
"01a_04000.bin.json:49","長い沈黙の間にも、彼女の視線が逸らされることはなかった。","在漫长的沉默中，她的视线也没有移开。","04000:049","False","","","

在漫长的沉默中，她的视线也没有移开。

在漫长的沉默中，她的视线也没有被转移。"
"01a_04000.bin.json:50","目を閉じた瞼には夕映えがスクリーンを照らすように映り、黄金色の温かな光がまるで祝福するように包んでいた。","闭上眼睛的眼睑上，夕阳映照出了荧幕，金黄色的温暖的光仿佛在祝福一般包裹着。","04000:050","False","","","

闭上眼睛的眼睑上，夕阳映照出了荧幕，金黄色的温暖的光仿佛在祝福一般包裹着。

闭上眼睛的眼睑上映着夕阳的光芒，金黄色的温暖的光芒仿佛祝福一般包围着她。"
"01a_04000.bin.json:51","そして――不意に唇に電流が奔ったような感触を受ける。","然后——突然感觉嘴唇上电流在奔波。","04000:051","False","","","

然后——突然感觉嘴唇上电流在奔波。

然后——嘴唇突然有电流划过的感觉。"
"01a_04000.bin.json:52","それが神田アリスが、私の唇に触れたのだと分かるまで数瞬の時を要した。","直到知道神田爱丽丝是接触到我嘴唇为止，需要几瞬间的时间。","04000:052","False","","","

直到知道神田爱丽丝是接触到我嘴唇为止，需要几瞬间的时间。

过了好一会儿，我才意识到那是神田爱丽丝碰触了我的嘴唇。"
"01a_04000.bin.json:53","しかし、彼女の指が唇に触れているのだと分かると――喩えようのない多幸感が身体を奔り、身体を痺れさせた。","但是，当知道她的手指碰到嘴唇时——无法比喻的幸福感在身体上奔走，身体麻木了。","04000:053","False","","","

但是，当知道她的手指碰到嘴唇时——无法比喻的幸福感在身体上奔走，身体麻木了。

但是，当我知道她的手指碰到了我的嘴唇时——一种无法形容的幸福感掠过我的身体，让我的身体麻痹了。"
"01a_04000.bin.json:55","“わたしは――佐和良義宝珠のことが好きなんだ”","“我喜欢佐和良义宝珠。”","04000:055","False","","","

“我喜欢佐和良义宝珠。”

“我——喜欢佐和良义宝珠。”"
"01a_04000.bin.json:56","その後に紡がれた言葉はすぐには理解できなかった。けれど、再び紡がれた私を“好きなのだ”と確認するように吐かれた言葉……。","之后编织的语言我不能马上理解。但是，再次编织出来的我被吐出了“喜欢你”的话……","04000:056","False","","","

之后编织的语言我不能马上理解。但是，再次编织出来的我被吐出了“喜欢你”的话……

之后她又说了些什么，我一时无法理解。但是，再次被编织的“我喜欢你”的确认般的话语……"
"01a_04000.bin.json:57","そうだ。私は……。","没错。我……","04000:057","False","","","

没错。我……

没错。我……"
"01a_04000.bin.json:59","私は……嬉しいのだと感じている……。","我……感到高兴……","04000:059","False","","","宝珠

我……感到高兴……

我……我感到很高兴……"
"01a_04000.bin.json:61","好奇の目でなく、","不是好奇心的眼睛，","04000:061","False","","","

不是好奇心的眼睛，

不是好奇的目光，"
"01a_04000.bin.json:62","奇異の目でもない、","也不是奇怪的眼睛，","04000:062","False","","","

也不是奇怪的眼睛，

也不是奇怪的眼睛，"
"01a_04000.bin.json:63","温かな色彩をあのとき確かに感じたのだ。","那时我确实感受到了温暖的色彩。","04000:063","False","","","

那时我确实感受到了温暖的色彩。

那时确实感到了温暖的色彩。"
"01a_04000.bin.json:65","私は……どうしたら、どう向き合ったらいいのかしら……。","我……怎么做，怎么面对才好呢……","04000:065","False","","","宝珠

我……怎么做，怎么面对才好呢……

我……怎样做才能面对呢……"
"01a_04000.bin.json:67","自問する声は静かな間へ千々に乱れ消えていった。","自问的声音在安静的时候千钧一发地消失了。","04000:067","False","","","

自问的声音在安静的时候千钧一发地消失了。

扪心自问的声音在寂静中渐渐模糊。"
"01a_04000.bin.json:68","その答えは、あの茜色の教室で持ち去られた魂の一部が答えを携えていたのかもしれない。","那个答案，也许是那个在茜色教室被带走的灵魂的一部分带着答案。","04000:068","False","","","

那个答案，也许是那个在茜色教室被带走的灵魂的一部分带着答案。

那个答案，也许是在那个茜色的教室里被带走的灵魂的一部分带着答案。"
"01a_04000.bin.json:69","私は終わらない問いを、瞳を閉じもう一度自分自身へ投げかけた……。","我闭上眼睛，再一次问自己这个问题……","04000:069","False","","","

我闭上眼睛，再一次问自己这个问题……

我闭上眼睛，再一次向自己投去了无法结束的问题……"
