"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_05000.bin.json:2","エピローグ","外延","05000:002","False","","","

外延

尾声"
"01a_05000.bin.json:3","――四月の風と七月の太陽が十月の彩りをもたらす。","四月的风和七月的太阳带来十月的色彩。","05000:003","False","","","

四月的风和七月的太阳带来十月的色彩。

——四月的风和七月的太阳带来了十月的色彩。"
"01a_05000.bin.json:6","佐和良義宝珠と結ばれた日から七日のときが過ぎた。","从和佐和良义宝珠结合之日开始，已经过了七天。","05000:006","False","","","

从和佐和良义宝珠结合之日开始，已经过了七天。

与佐和良义宝珠结合的日子已经过去七天了。"
"01a_05000.bin.json:7","秋も深まり、黄金色と朱色の葉は木々を彩るよりも地を彩っていた。極彩色の絨毯。","秋意渐浓，金黄色和朱红色的叶子比起点缀树木，更为大地上色。五彩缤纷的地毯。","05000:007","False","","","

秋意渐浓，金黄色和朱红色的叶子比起点缀树木，更为大地上色。五彩缤纷的地毯。

秋意渐浓，金黄色和朱红色的树叶点缀着大地，而不是树木。五彩缤纷的地毯"
"01a_05000.bin.json:8","微かだけれど確かな変化。","细微但确实的变化。","05000:008","False","","","

细微但确实的变化。

虽然有点微弱，但确实是变化。"
"01a_05000.bin.json:9","七日という時間は大きな――否、小さくても確かな変化を起こしていた。","七天的时间很大——不，即使很小也会发生确实的变化。","05000:009","False","","","

七天的时间很大——不，即使很小也会发生确实的变化。

七天的时间发生了很大——不，虽然很小，但确实发生了变化。"
"01a_05000.bin.json:10","そのひとつは――……","其中之一是——……","05000:010","False","","","

其中之一是——……

其中之一就是——……"
"01a_05000.bin.json:16","宮原","宫原","05000:016","False","","","

宫原

宫原"
"01a_05000.bin.json:17","お見事。","真漂亮。","05000:017","False","","","宫原

真漂亮。

太棒了。"
"01a_05000.bin.json:20","鶴見","鹤见","05000:020","False","","","

鹤见

鹤见"
"01a_05000.bin.json:21","葵に比べたらまだまだだわ。","和葵比起来还差得远呢。","05000:021","False","","","鹤见

和葵比起来还差得远呢。

和葵比起来还差得远呢。"
"01a_05000.bin.json:23","宮原部長と鶴見副部長。","宫原部长和鹤见副部长。","05000:023","False","","","

宫原部长和鹤见副部长。

宫原部长和鹤见副部长。"
"01a_05000.bin.json:24","謎を解くための鍵が分からず、心の乱れを正すために弓を引かせて貰ってからちょくちょくと顔を出すようになった。だから気付いたのだけど――……","不知道解开谜团的钥匙，为了纠正内心的混乱，请我拉弓之后，经常露面。所以才注意到了——……","05000:024","False","","","

不知道解开谜团的钥匙，为了纠正内心的混乱，请我拉弓之后，经常露面。所以才注意到了——……

我不知道解开谜题的钥匙，为了纠正内心的混乱，我拉起了弓，从那以后，我就经常出现在那里。所以我才注意到——……"
"01a_05000.bin.json:26","かなん。汗が滲んでるぞ。","嗯。汗渗出来了。","05000:026","False","","","宫原

嗯。汗渗出来了。

河南。要出汗了。"
"01a_05000.bin.json:29","大丈夫よ。ぁ……。","没关系的。啊……","05000:029","False","","","鹤见

没关系的。啊……

没关系的。啊……"
"01a_05000.bin.json:31","大丈夫と手を振る鶴見副部長を意に返さず、自分の手ぬぐいで子供にするよう丁寧に鶴見副部長の額の汗を拭った。今までは……わたしが所属してた頃はなかった情景。","鹤见副部长挥挥手说没事，她不理会，用自己的手巾像对待小孩子一样仔细地为鹤见副部长擦去额头上的汗。到现在为止……我在所属的时候没有的情景。","05000:031","False","","","

鹤见副部长挥挥手说没事，她不理会，用自己的手巾像对待小孩子一样仔细地为鹤见副部长擦去额头上的汗。到现在为止……我在所属的时候没有的情景。

鹤见副部长不回意，而是用自己的手巾仔细擦拭鹤见副部长额头上的汗，说没关系。到现在为止……我所属的时候没有的情景。"
"01a_05000.bin.json:32","喉が渇かないか。すぐに持ってくるから。","口渴吗？我马上就拿来。","05000:032","False","","","宫原

口渴吗？我马上就拿来。

不口渴吗？我马上去拿。"
"01a_05000.bin.json:34","お姫様にするようにかいがいしく尽くす宮原部長。凛々しくもさっぱりした気性だから、鶴見副部長と付き合うようになっても“自分に付いてこい”というタイプだと思ったのだけど。","宫原部长像对待公主一样尽心尽力。因为是凛然爽快的性格，所以即使和鹤见副部长交往，我也觉得她是那种“跟着自己走”的类型。","05000:034","False","","","

宫原部长像对待公主一样尽心尽力。因为是凛然爽快的性格，所以即使和鹤见副部长交往，我也觉得她是那种“跟着自己走”的类型。

宫原部长像公主一样非常努力。因为是凛然清爽的性格，所以即使和鹤见副部长交往了也会觉得是“跟我来”的类型。"
"01a_05000.bin.json:36","そんなに慌てなくても大丈夫よ。もう、ふふっ。","不用那么着急。已经，呵呵。","05000:036","False","","","鹤见

不用那么着急。已经，呵呵。

你不用那么慌张。真是的，呵呵。"
"01a_05000.bin.json:38","幸せそうに微笑む。秋だというのにそこに春が訪れたように。","幸福地微笑着。虽说是秋天，但春天却来到了那里。","05000:038","False","","","

幸福地微笑着。虽说是秋天，但春天却来到了那里。

幸福地微笑着。就像明明是秋天却迎来了春天一样。"
"01a_05000.bin.json:39","部員皆、付き合っているのは察しているけれど誰も口には出さないようにしているのだという。","虽然我知道部员们都在交往，但是谁也不会说出口。","05000:039","False","","","

虽然我知道部员们都在交往，但是谁也不会说出口。

社员们都知道她们在交往，但谁都不敢说出口。"
"01a_05000.bin.json:40","堅物な宮原部長は二人が交際している事を打ち明けたら公私混同は許さずと、今のような微笑ましい光景は見られないだろうからと。","严肃的宫原部长说，如果把两人交往的事情说出来，就不允许公私混淆，不会再看到像现在这样令人欣慰的光景了。","05000:040","False","","","

严肃的宫原部长说，如果把两人交往的事情说出来，就不允许公私混淆，不会再看到像现在这样令人欣慰的光景了。

因为踏实的宫原部长如果说出两个人交往的事情的话，就不允许公私混同，就看不到像现在这样令人欣慰的景象了。"
"01a_05000.bin.json:42","すまない。スポーツドリンクしかないんだけれどいいかな。","对不起。只有运动饮料，可以吗？","05000:042","False","","","宫原

对不起。只有运动饮料，可以吗？

对不起。只有运动饮料，可以吗？"
"01a_05000.bin.json:44","葵が持ってきてくれたものがいいの。","葵给我带来的东西比较好。","05000:044","False","","","鹤见

葵给我带来的东西比较好。

还是葵带来的好。"
