"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_01601.bin.json:4","一章","第一章","01601:004","False","","","

第一章

一章"
"01a_01601.bin.json:5","アリス","爱丽丝","01601:005","False","","","

爱丽丝

爱丽丝"
"01a_01601.bin.json:6","これで間違いはないと思うけど……。","我觉得这样就不会错了……","01601:006","False","","","爱丽丝

我觉得这样就不会错了……

我想这样应该不会错……"
"01a_01601.bin.json:8","どうにも据わりの悪い気がする。","总觉得不太舒服。","01601:008","False","","","

总觉得不太舒服。

总觉得有点不稳定。"
"01a_01601.bin.json:9","わたしの推理に誤りでもあるのだろうか……。","我的推理有错误吗……","01601:009","False","","","

我的推理有错误吗……

难道我的推理有误吗……"
"01a_01601.bin.json:10","もう一度考えてみようと思うも、","我想再考虑一下，","01601:010","False","","","

我想再考虑一下，

我想再考虑一下，"
"01a_01601.bin.json:12","……[#]あ、早く向かわなくちゃ！","……[#]啊，必须快点去！","01601:012","False","","","爱丽丝

……[#]啊，必须快点去！

……[#]啊，必须快点走！"
"01a_01601.bin.json:14","待ち合わせに遅れてしまうと、わたしは大股で靄の中に沈む弓道場へと向かった。","约会迟到了，我就迈着大步去沉在雾霭中的弓道场。","01601:014","False","","","

碰头迟到了，我大步走向陷入雾霭中的射箭场。

约会迟到了，我就迈着大步去沉在雾霭中的弓道场。"
"01a_01601.bin.json:17","胃が重くなるような気分で、","我感到胃里一阵沉重。","01601:017","False","","","

以胃变重的心情，

我感到胃里一阵沉重。"
"01a_01601.bin.json:19","わたしは授業を受けていた。","我在上课。","01601:019","False","","","

我上课了。

我在上课。"
"01a_01601.bin.json:21","あの日、佐和良義先輩やメイとともに真実を導き出そうとした。","那天，我和佐和良义前辈以及小明一起试图找出真相。","01601:021","False","","","

那天，我和佐和良义前辈和小明一起想要导出真相。

那天，我和佐和良义前辈以及小明一起试图找出真相。"
"01a_01601.bin.json:22","途中まではわたしの推察も当たっていたのだ。","直到一半，我的推测都是正确的。","01601:022","False","","","

直到一半，我的推测也对了。

我的推测也猜对了。"
"01a_01601.bin.json:23","だから、犯人をさらに追い詰めるためにわたしは助力のつもりで口を挟んだ。","所以，为了进一步追查犯人，我抱着帮助的心情插嘴。","01601:023","False","","","

所以，为了进一步追查犯人，我抱着帮助的心情插嘴。

所以，为了把犯人逼上绝路，我为了帮助她才插嘴。"
"01a_01601.bin.json:24","けれど、","但是，","01601:024","False","","","

但是，

但是"
"01a_01601.bin.json:26","『それが誤りだった……』","“那是错误的……”","01601:026","False","","","爱丽丝

“那是错误的……”

“这是错误的……”"
"01a_01601.bin.json:28","わたしが言った誤り。それが佐和良義先輩の段取りをおかしくしてしまったのだろう。","我说错了。这让佐和良义前辈的规划变得奇怪了吧。","01601:028","False","","","

我说错了。这让佐和良义前辈的规划变得奇怪了吧。

我说的错误。这对佐和良义前辈的安排很奇怪吧。"
"01a_01601.bin.json:29","犯人は分かり、謎は解けたけれど、皆へ消えないしこりを残す結果となった。","犯人是知道了，谜是解开了，但结果却给大家留下了无法消失的疙瘩。","01601:029","False","","","

犯人是知道了，谜是解开了，但结果却给大家留下了无法消失的疙瘩。

犯人知道了，谜团解开了，但是结果却留下了不会消失给大家的疙瘩。"
"01a_01601.bin.json:30","春日＠？？？","春日＠？？？","01601:030","False","","","

春日＠？？？

春日＠？？？"
"01a_01601.bin.json:31","んだ……さん。","田……同学。","01601:031","False","","","春日

嗯……同学。

是啊……同学。"
"01a_01601.bin.json:34","春日","春日","01601:034","False","","","

春日

春日"
"01a_01601.bin.json:35","神田さん――！","神田同学——！","01601:035","False","","","春日

神田同学——！

神田同学——！"
"01a_01601.bin.json:37","え、あ……。","啊，啊……","01601:037","False","","","爱丽丝

啊，啊……

啊，啊……"
"01a_01601.bin.json:39","机を揺らされ、顔を上げると教壇の先生が教科書を指し叩いていた。","她摇晃着桌子，抬头一看，讲台上的老师正指着教科书。","01601:039","False","","","

桌子被摇动，抬起脸来，讲台的老师指着教科书敲着。

她摇晃着桌子，抬头一看，讲台上的老师正指着教科书。"
"01a_01601.bin.json:41","１５４ページからだよ。","从１５４页开始。","01601:041","False","","","春日

从１５４页开始。

从第１５４页开始。"
"01a_01601.bin.json:43","教えてくれる春日さんへありがとうと言うと、教科書を音読する。","我对教我的春日说了声谢谢，然后开始朗读教科书。","01601:043","False","","","

我对教我的春日说了声谢谢，然后开始朗读教科书。

对教我的春日说声谢谢，我就朗读教科书。"
"01a_01601.bin.json:44","話していてもまったく頭に入ってこない。","说话也完全不想进去。","01601:044","False","","","

说话也完全不想进去。

说着说着就完全进不了脑子。"
"01a_01601.bin.json:45","『……どうしたらいいの？』","“……怎么办才好呢？”","01601:045","False","","","爱丽丝

“……怎么办才好呢？”

“……怎么办才好呢？”"
"01a_01601.bin.json:47","己の過ちの重さを胃と心に受けながら、覇気のない声は教室へと寒々しく響いたのだった…………。","胃和心承受着自己错误的重量，没有霸气的声音在教室里冷冷地响起…………","01601:047","False","","","

在胃里和心接受着自己错误的沉重，没有霸气的声音在教室里寒意地回响着……

胃和心承受着自己错误的重量，没有霸气的声音在教室里冷冷地响起…………"
