"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_04300.bin.json:2","四章","第四章","04300:002","False","","","

第四章

第四章"
"01a_04300.bin.json:3","――宝珠先輩へ感じていた奇妙な違和感。","——给宝珠前辈带来的奇妙违和感。","04300:003","False","","","

——给宝珠前辈带来的奇妙违和感。

——对宝珠前辈产生的奇妙的违和感。"
"01a_04300.bin.json:4","嫌な予感めいたものも薄れ――日常に埋没していた。","不祥的预感也淡薄了——淹没在日常生活中。","04300:004","False","","","

不祥的预感也淡薄了——淹没在日常生活中。

令人讨厌的预感也淡薄了——埋没在日常生活中。"
"01a_04300.bin.json:8","微かな違和感は確かにずっと心に留まり続けていたけど、朝靄のように薄く、その存在を霧散していた。そう、","微弱的违和感确实一直留在心里，但像晨雾一样稀薄，把它的存在烟消云散了。对，","04300:008","False","","","

微弱的违和感确实一直留在心里，但像晨雾一样稀薄，把它的存在烟消云散了。对，

虽然细微的违和感确实一直留在心中，但是像朝霭一样薄，雾散着它的存在。是的"
"01a_04300.bin.json:11","恵理","惠理","04300:011","False","","","

惠理

听说"
"01a_04300.bin.json:12","それはわたしの中ではお洒落とは呼ばないわ。","这在我心目中不叫时髦。","04300:012","False","","","春日

这在我心目中不叫时髦。

那在我心中不叫时尚。"
"01a_04300.bin.json:15","木野","木野","04300:015","False","","","

木野

木野"
"01a_04300.bin.json:16","ええ、そうかなぁ。","是啊，是吗？","04300:016","False","","","木野

是啊，是吗？

嗯，是吗。"
"01a_04300.bin.json:18","机におしりを乗せた友人と、わたしを挟むようにして語る最近できた友人のかしましさが、靄を遠くに追い払っていたのだ。","坐在桌子上的朋友和最近夹着我说话的朋友的聪明，把烟霭驱散得很远。","04300:018","False","","","

最近结识的朋友把我夹在屁股上和坐在桌子上的朋友交谈，她的聪明把雾霭远远地赶走了。

最近交到的朋友们把屁股放在桌子上，和我夹在一起的聪明，把烟霭赶走了。"
"01a_04300.bin.json:20","神田さんはどう思う？","神田同学觉得怎么样？","04300:020","False","","","木野

神田同学觉得怎么样？

神田同学是怎么想的？"
"01a_04300.bin.json:23","アリス","爱丽丝","04300:023","False","","","

爱丽丝

爱丽丝"
"01a_04300.bin.json:24","う～ん。どうだろう……。","嗯。怎么样呢……","04300:024","False","","","爱丽丝

嗯。怎么样呢……

嗯。怎么样……"
"01a_04300.bin.json:26","彼女たちと友達になってからは読みかけの小説を取り出したり、物思いに耽る暇はない。お洒落について――","和她们成为朋友之后，没有时间拿出读了一半的小说，也没有时间沉思。关于打扮——","04300:026","False","","","

和她们成为朋友之后，没有时间拿出读了一半的小说，也没有时间沉思。关于打扮——

和她们成为朋友后，没有时间拿出刚读过的小说，沉浸在沉思之中。关于时尚——"
"01a_04300.bin.json:28","雑誌の指南を鵜呑みにするのはわたし的に好きじゃないの。別に相手にその靴良いですねって言われたくて履いている訳じゃないから。","我不喜欢囫囵吞枣地相信杂志的指南吗？并不是想被对方说那双鞋好而穿的。","04300:028","False","","","春日

我不喜欢囫囵吞枣地相信杂志的指南吗？并不是想被对方说那双鞋好而穿的。

我不喜欢囫囵吞枣地接受杂志上的指南。并不是为了让对方说这双鞋很好才穿的。"
"01a_04300.bin.json:31","人の意見はどうでもいい？","人的意见无所谓吗？","04300:031","False","","","爱丽丝

人的意见无所谓吗？

别人的意见无所谓吗？"
