"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_00001.bin.json:2","プロローグ","序","00001:002","False","","","

序曲

序言"
"01a_00001.bin.json:3","夢の中で目を覚ました時、目の前に《私》がいた。","在梦中睁开眼睛，眼前是“我”。","00001:003","False","","","

在梦中醒来的时候，眼前有“我”。

从梦中醒来的时候，“我”就在眼前。"
"01a_00001.bin.json:5","目にも鮮やかな朱色の振り袖を着た《私》は何かを決意したような、しかし何処か怯えたような顔つきをしていた。","“我”穿着朱红色的振袖，脸上透露出决心，但又好像有些害怕。","00001:005","False","","","

“我”穿着鲜艳的红色长袖和服，似乎下定了什么决心，但又带着几分胆怯。

“我”穿着鲜艳的朱红色长袖，似乎下定决心了什么，但总觉得有些害怕。"
"01a_00001.bin.json:6","私は《私》からそっと目を離すと部屋の中を、外を窺う。","我轻轻地从“我”移开视线，窥视房间的里面和外面。","00001:006","False","","","

我悄悄地从“我”移开视线，在房间里窥视外面。

我悄悄地从“我”身上移开视线，窥视房间里和外面。"
"01a_00001.bin.json:7","襖が開けられた先の庭には赤、青、白、紫色の紫陽花が群れをなし豪奢に咲き誇っていた。","打开的隔扇外，红色、蓝色、白色、紫色的绣球花成群艳丽地盛开着。","00001:007","False","","","

隔扇被打开后的庭院里，红色、蓝色、白色、紫色的紫阳花成群结队，盛开得很豪华。

拉门打开后，院子里红、蓝、白、紫色的紫阳花成群结队，奢华地盛开着。"
"01a_00001.bin.json:8","紫陽花の間だ、と夢の中の私は色彩豊かな花々を眺め思う。","“是绣球花开的时候了”，梦中的我望着色彩鲜艳的花朵，想道。","00001:008","False","","","

“紫阳花之间。”梦中的我眺望着色彩丰富的花朵。

在紫阳花之间，我在梦中眺望着色彩丰富的花朵。"
"01a_00001.bin.json:9","常に観る夢は白黒で、金魚鉢を通して覗いているかのように朧気。だが、この夢だけは手に取って触れるほどに現実的で匂いまでも感じられる。","我的梦经常是黑白色的，像是透过鱼缸看一样朦胧。但是，只有这个梦现实得好像能用手摸到，甚至能闻到到味道。","00001:009","False","","","

经常做的梦是黑白的，像是通过金鱼缸窥视一样朦胧。但是，只有这个梦想越是拿在手上触摸越现实，甚至能感受到味道。

常做的梦是黑白的，就像透过鱼缸看一样模模糊糊。但是，只有这个梦是如此现实，甚至可以用手去触摸。"
"01a_00001.bin.json:10","――其れがとても厭だ。","——这样很讨厌。","00001:010","False","","","

——我很讨厌那个。

——我非常讨厌这样。"
"01a_00001.bin.json:11","夢の中の《私》は緊張した面持ちで、茶碗へと入れていた抹茶へと少しの水を入れていた。そして佐和良義の所作を忘れぬように心に留めながら、抹茶を茶筅で練る。","梦中的“我”表情紧张，向茶碗里的抹茶里倒入一点水。然后牢记着佐和良义的方式，用茶筅搅拌抹茶。","00001:011","False","","","

梦中的“我”带着紧张的表情，往装在碗里的抹茶里加入了一点点水。然后为了不忘记佐和良义的举止，一边将抹茶用茶匙搅拌。

梦中的“我”一脸紧张，往茶碗里的抹茶里倒了一点水。然后一边记着佐和良义的动作，一边用茶筅刷抹茶。"
"01a_00001.bin.json:12","充分に練り終えた《私》はお湯を静かに注ぎ、母様が教えてくれたとおり茶筅で泡立て点てる。","充分搅拌后，“我”缓缓注入热水，按照母亲教的那样，用茶筅点起泡。","00001:012","False","","","

充分搅拌后，“我”静静地注入热水，按照母亲教的那样，用茶筅刷起泡。

充分揉好的“我”静静地倒热水，按照母亲告诉我的那样，用茶匙起泡。"
"01a_00001.bin.json:13","そして、","然后，","00001:013","False","","","

然后

然后，"
"01a_00001.bin.json:14","――お手前頂戴します","“——你的点茶我收下了。”","00001:014","False","","","

——我收下了。

——请您自吹自擂"
"01a_00001.bin.json:16","茶碗を受け取った試験役の声が届き、《私》はほっと安堵した顔をした。","听到考官收下了茶杯，“我”露出放心的表情。","00001:016","False","","","

收到茶碗的试验人员的声音传来，“我”露出放心的表情。

接到茶杯的测试员的声音传来，“我”露出安心的表情。"
"01a_00001.bin.json:17","だが、","然而，","00001:017","False","","","

但是，

但是"
"01a_00001.bin.json:20","[b]『……まだ不器用なら可愛げがあったが』[k]","[b]“……要是只是笨拙的话，还是挺可爱的。”[k]","00001:020","False","","","

[b]“……要是还不中用，还挺可爱的。”[k]

[b]“……如果还笨拙的话会很可爱”[k]"
"01a_00001.bin.json:21","頭に響く声を、低く、抑揚と潤いをなくした声音が聞こえ《私》はたじろいだ。","听到低沉，没有起伏和温度的语气，“我”畏缩了一下。","00001:021","False","","","

听到低沉、抑扬顿挫、失去滋润的声音，“我”吓了一跳。

她的声音低沉，没有了抑扬顿挫，回荡在我的脑海里，“我”吓了一跳。"
"01a_00001.bin.json:23","しかし、母の視ている前で間違いは起こせない。震える胸を堪え、同じようにお茶を点てもう一人の試験役の者へと差し出した。","但是在母亲的注视下是不能犯错的。“我”忍住颤抖，同样地点茶，递给下一位考官。","00001:023","False","","","

但是，在母亲的注视下不能犯错。她强忍着颤抖的胸口，同样点了茶，递给另一个考试的人。

但是，在母亲的面前是不会发生错误的。忍住颤抖的胸脯，同样点茶交给另一个试点的人。"
"01a_00001.bin.json:25","[b]『なまじ才能があるだけ不憫よな……』[k]","[b]“正因为只有半吊子的能力才可惜啊……”[k]","00001:025","False","","","

[b]“正因为有了口才才才可怜啊……”[k]

[b]“有这样的才能，真是可怜啊……”[k]"
"01a_00001.bin.json:26","やはり声なき声は《私》へと届き、たじろいだ《私》は――……","仿佛有人这样说，“我”犹豫了一下——……","00001:026","False","","","

果然无声的呻吟传到了“我”身上，“我”踌躇了一下——……

果然无声的声音传到了“我”，畏缩不前的“我”是……"
"01a_00001.bin.json:28","最後の試験役へお茶を点てようと、茶筅で練っていたお茶碗が傾き――畳へと抹茶を零してしまった。","正给最后一位考官点茶时，茶碗倒了——抹茶洒到了榻榻米上。","00001:028","False","","","

为了给最后的试验者点茶，用茶筅搅拌的茶碗倾斜了——抹茶洒到了榻榻米上。

为了给最后的考试角色点茶，用茶匙熬制的茶碗倾斜了——抹茶洒到榻榻米上了。"
